                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0581,                 1.1925,                 1.2187,                0.96409,                0.96875,                0.99324,                0.85345,                0.70911,                0.69817,                 1.1232,             0.00013336,             0.00013336,             0.00013336
                      2,                0.70445,                0.82406,                0.97272,                0.99512,                      1,                  0.995,                0.87712,                0.51534,                0.51008,                0.96453,             0.00028058,             0.00028058,             0.00028058
                      3,                0.56451,                0.70106,                0.89552,                0.96074,                      1,                  0.995,                0.92424,                 0.4008,                 0.5145,                0.90167,             0.00042484,             0.00042484,             0.00042484
                      4,                0.54279,                0.67968,                 0.8853,                0.99281,                      1,                  0.995,                0.92597,                0.40226,                0.51257,                0.89952,             0.00056612,             0.00056612,             0.00056612
                      5,                0.48092,                0.61047,                0.87014,                0.92235,                0.98833,                0.94333,                  0.885,                0.38302,                0.52331,                0.89051,             0.00070443,             0.00070443,             0.00070443
                      6,                0.47363,                 0.5243,                0.83856,                0.99558,                      1,                  0.995,                0.94312,                0.35545,                0.37597,                0.88258,             0.00083978,             0.00083978,             0.00083978
                      7,                0.44838,                0.52981,                0.85941,                 0.9951,                      1,                  0.995,                 0.9451,                0.37186,                0.39747,                0.88741,             0.00097215,             0.00097215,             0.00097215
                      8,                0.45949,                0.52974,                0.86208,                0.98071,                      1,                  0.995,                0.94215,                0.37221,                0.43249,                0.88448,              0.0011015,              0.0011015,              0.0011015
                      9,                0.45191,                0.50694,                0.85387,                0.98831,                      1,                  0.995,                0.95375,                0.32536,                0.35543,                0.87729,               0.001228,               0.001228,               0.001228
                     10,                0.43602,                0.45355,                0.86393,                0.99241,                      1,                  0.995,                0.94112,                0.34279,                 0.4037,                0.88056,              0.0013514,              0.0013514,              0.0013514
                     11,                0.46562,                0.47568,                0.86523,                0.98902,                      1,                  0.995,                0.93344,                0.35502,                 0.4188,                0.88179,              0.0014719,              0.0014719,              0.0014719
                     12,                0.47027,                0.45121,                0.86212,                0.99661,                      1,                  0.995,                0.93218,                 0.3621,                 0.3952,                 0.8891,              0.0014855,              0.0014855,              0.0014855
                     13,                0.44426,                0.44981,                0.86837,                0.99532,                      1,                  0.995,                0.94206,                0.36083,                0.38456,                0.88366,              0.0014855,              0.0014855,              0.0014855
                     14,                0.45804,                0.45842,                0.86364,                0.99502,                      1,                  0.995,                0.95823,                0.32698,                0.40305,                 0.8737,               0.001469,               0.001469,               0.001469
                     15,                0.43541,                0.42788,                0.84756,                0.99345,                      1,                  0.995,                0.94121,                0.37653,                0.39051,                0.88696,              0.0014525,              0.0014525,              0.0014525
                     16,                0.47836,                0.45459,                0.87981,                0.99285,                      1,                  0.995,                0.93342,                0.38693,                0.36306,                 0.8885,               0.001436,               0.001436,               0.001436
                     17,                0.44191,                0.41722,                0.86321,                0.99436,                      1,                  0.995,                0.94242,                 0.3696,                0.35758,                0.88152,              0.0014195,              0.0014195,              0.0014195
                     18,                0.45045,                0.41874,                0.86672,                0.99519,                      1,                  0.995,                0.93661,                0.34879,                0.33533,                0.88065,              0.0014029,              0.0014029,              0.0014029
                     19,                0.43175,                0.41061,                0.85286,                0.99584,                      1,                  0.995,                0.93046,                0.38027,                0.32115,                0.88329,              0.0013864,              0.0013864,              0.0013864
                     20,                0.41992,                0.39479,                0.85272,                0.99628,                      1,                  0.995,                0.95387,                0.35116,                 0.3054,                0.88664,              0.0013699,              0.0013699,              0.0013699
                     21,                0.41326,                0.37883,                0.85132,                0.98537,                0.97146,                  0.995,                0.94868,                0.35446,                0.33461,                 0.8822,              0.0013534,              0.0013534,              0.0013534
                     22,                0.39982,                0.35751,                0.84741,                0.96506,                0.96875,                0.97324,                 0.9118,                0.32697,                0.36013,                0.87638,              0.0013369,              0.0013369,              0.0013369
                     23,                0.43363,                0.39574,                0.85964,                0.99374,                0.97243,                  0.995,                0.93966,                0.32726,                0.29379,                0.87617,              0.0013204,              0.0013204,              0.0013204
                     24,                0.44431,                0.38172,                0.87335,                0.96984,                0.97337,                  0.995,                0.91703,                0.37644,                0.35633,                0.89548,              0.0013039,              0.0013039,              0.0013039
